ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
462607,Net Post,Metal,Parks,POINT (-113.55943642249994 53.56092009181083),19,209,3,1,5
551002,Basketball Net,Unknown,School Board,POINT (-113.52350718108245 53.49161819539607),51,197,6,5,2
498334,Home plate,Plastic,Parks,POINT (-113.391272092259 53.562677000825836),232,176,4,3,10
597487,Net Post,Metal,Parks,POINT (-113.56272889523817 53.47788095480868),194,160,6,6,12
31836,Funnel ball,Unknown,School Board,POINT (-113.5675290036261 53.52609003855943),32,115,5,5,1
414430,Home plate,Plastic,Parks,POINT (-113.48158119369765 53.46237976134441),115,237,9,7,3
,Chess Table,Metal,Unknown,POINT (-113.54475516701059 53.61111917668124),189,216,1,1,5
535312,Skateboard Fixture,Metal,Parks,POINT (-113.38406215664288 53.45796694059692),230,134,7,7,4
523319,Net Post,Metal,Parks,POINT (-113.45194581706821 53.543210932219885),293,1,4,5,11
516408,Home plate,Plastic,Parks,POINT (-113.40163052805046 53.569819657139995),252,175,4,3,10
31729,Funnel ball,Plastic,School Board,POINT (-113.45666487088042 53.606000183438674),15,165,2,3,10
557143,Home plate,Plastic,Parks,POINT (-113.40837151976682 53.47834635180971),125,58,7,7,3
343110,Tetherball Pole,Metal,Parks,POINT (-113.59560873784125 53.525918388614244),27,99,5,4,1
739038,Pitching Board,Plastic,Parks,POINT (-113.40233311648862 53.54637532598101),394,30,4,5,11
31658,Skateboard Fixture,Metal,Parks,POINT (-113.40796814133618 53.483422501113154),275,58,7,7,3
485139,Net Post,Metal,Parks,POINT (-113.514065689399 53.519381860936186),286,9,6,5,11
,Basketball Net,Metal,Unknown,POINT (-113.50709012815989 53.475909055719185),142,20,6,6,2
485144,Net Post,Metal,Parks,POINT (-113.51356691938757 53.519382062230854),286,9,6,5,11
427742,Basketball Net,Metal,Community League,POINT (-113.56862548890038 53.5327777375576),75,85,5,5,1
31568,Basketball Net,Metal,Community League,POINT (-113.6214519098522 53.516455498266936),10,96,3,4,8
514182,Basketball Net,Metal,School Board,POINT (-113.63551077204737 53.517964892376604),34,94,3,4,1
438922,Skateboard Fixture,Metal,Parks,POINT (-113.63775543277418 53.497775005683685),69,25,5,4,8
,Net Post,Metal,Unknown,POINT (-113.44409450992363 53.54711893347301),293,1,4,5,11
758531,Mileage Marker,Other,Citizen Services,POINT (-113.52852457659243 53.53843613223144),344,144,4,5,9
564565,Basketball Net,Unknown,School Board,POINT (-113.56152121946715 53.574351823101075),49,215,3,1,5
540110,Net Post,Metal,Parks,POINT (-113.6041872699083 53.52818705028227),92,93,5,4,1
524045,Net Post,Metal,Parks,POINT (-113.47350142928725 53.59459937410825),12,157,1,2,10
32000,Funnel ball,Plastic,Parks,POINT (-113.47154054202244 53.562912641179295),147,150,4,3,10
498364,Skateboard Fixture,Metal,Parks,POINT (-113.50448753947083 53.464896193367565),274,173,6,6,2
509699,Funnel ball,Unknown,School Board,POINT (-113.4134169192518 53.449059993410756),250,7,9,7,4
551160,Basketball Net,Metal,Parks,POINT (-113.50629602170311 53.55544606015125),181,220,3,5,9
522983,Basketball Net,Metal,Parks,POINT (-113.60816847846921 53.51541915498744),9,98,5,4,8
414426,Other,Plastic,Parks,POINT (-113.48033088624813 53.46126709404169),115,237,9,7,3
,Basketball Net,Metal,Unknown,POINT (-113.61431983782171 53.440374893433),327,77,8,6,12
31679,Basketball Net,Metal,Community League,POINT (-113.47281169559454 53.541729330252714),352,153,4,5,9
465179,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.58054969350702 53.54651488747386),84,188,3,1,1
534225,Skateboard Fixture,Metal,Parks,POINT (-113.5897952343958 53.5087419168221),68,16,5,4,8
353926,Home plate,Plastic,Parks,POINT (-113.42816905235624 53.44369686107398),251,14,9,7,3
726667,Home plate,Plastic,Parks,POINT (-113.52273509771523 53.61913843010262),190,122,1,1,6
815411,Outdoor Exercise Equipment,Metal,School Board,POINT (-113.42906766655585 53.52008342260768),266,75,7,5,11
422336,Basketball Net,Metal,Parks,POINT (-113.51400872208247 53.41953618950315),126,100,8,6,2
494976,Net Post,Metal,Parks,POINT (-113.38247427706924 53.55989893376403),195,176,4,3,10
31726,Basketball Net,Metal,Parks,POINT (-113.47046277863286 53.619384880669465),106,163,1,2,6
815417,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.50191686285311 53.42020378343094),370,100,8,6,2
412052,Net Post,Metal,Community League,POINT (-113.57521718682176 53.49095299202366),259,178,6,6,12
434352,Basketball Net,Metal,Parks,POINT (-113.56763978849122 53.55223073698832),7,195,3,1,9
363511,Basketball Net,Metal,Parks,POINT (-113.44912778252016 53.62102541059642),278,167,2,2,6
31716,Basketball Net,Metal,Parks,POINT (-113.4767036677157 53.60751469854192),1,162,1,2,6
31739,Tetherball Pole,Metal,School Board,POINT (-113.45084220822321 53.61023732689186),167,166,2,3,6
430229,Chess Table,Metal,Parks,POINT (-113.4765211682559 53.5516268868132),154,153,4,5,9
530660,Basketball Net,Plastic,Parks,POINT (-113.36745649949641 53.50279097215727),295,39,7,5,3
613175,Home plate,Plastic,Parks,POINT (-113.44308205984305 53.45450326505538),55,238,9,7,3
31572,Basketball Net,Metal,Parks,POINT (-113.60534831083622 53.505990551546766),221,179,5,4,8
759244,Mileage Marker,Plastic,Citizen Services,POINT (-113.38366339100871 53.570942088185575),195,176,4,3,10
32024,Tetherball Pole,Metal,School Board,POINT (-113.50308064354493 53.596596053638564),37,224,1,2,5
760438,Mileage Marker,Metal,Citizen Services,POINT (-113.4612226992655 53.55282393947264),289,1,4,5,11
478305,Net Post,Metal,Parks,POINT (-113.45870876268036 53.544343514014145),289,1,4,5,11
551077,Basketball Net,Metal,Parks,POINT (-113.47509945375474 53.52403131939859),269,80,4,5,11
494978,Net Post,Metal,Parks,POINT (-113.38269263564126 53.559898163011304),195,176,4,3,10
533856,Net Post,Metal,Parks,POINT (-113.49892416505853 53.5070994538622),13,10,6,5,11
470630,Net Post,Metal,Community League,POINT (-113.52545257808735 53.45790047596528),140,171,6,6,2
537044,Basketball Net,Metal,Parks,POINT (-113.46217187807356 53.53057784235411),342,126,4,5,11
531345,Basketball Net,Metal,Community League,POINT (-113.55834096864021 53.55505854155156),14,195,3,5,9
,Chess Table,Other,Unknown,POINT (-113.45199399057458 53.543365077370915),293,1,4,5,11
31585,Basketball Net,Metal,Parks,POINT (-113.57739850620936 53.45942365896694),284,69,8,6,12
610851,Basketball Net,Metal,Parks,POINT (-113.52541630062983 53.47343119578929),47,172,6,6,2
485134,Net Post,Metal,Parks,POINT (-113.51472579785207 53.519380865738334),286,9,6,5,11
362659,Home plate,Plastic,Parks,POINT (-113.43263859319532 53.60139554650913),24,181,2,3,7
31692,Basketball Net,Unknown,School Board,POINT (-113.47811969324754 53.60503848784092),2,161,1,2,10
518053,Pitching Board,Plastic,Parks,POINT (-113.62432331035625 53.50692011550111),60,97,5,4,8
32028,Basketball Net,Metal,School Board,POINT (-113.48326712149702 53.58770619427036),38,152,1,2,10
429503,Net Post,Metal,Parks,POINT (-113.44233598980493 53.44965133984545),117,34,9,7,3
536606,Basketball Net,Metal,School Board,POINT (-113.4897681033283 53.52146092651167),315,12,6,5,11
32041,Basketball Net,Metal,Parks,POINT (-113.49796820216277 53.61651332720693),192,236,1,2,6
815423,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.63653498159182 53.50568151730261),135,97,5,4,8
,Basketball Net,Metal,Unknown,POINT (-113.5072023340192 53.47589856439147),142,20,6,6,2
509455,Basketball Net,Unknown,School Board,POINT (-113.53187173052791 53.509808552743166),283,17,6,5,11
363798,Home plate,Plastic,Parks,POINT (-113.49210772137705 53.53662149759098),366,24,4,5,9
815428,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.42407328423297 53.55586105536196),41,31,4,5,11
465875,Net Post,Metal,Parks,POINT (-113.5254640064016 53.554270414140866),179,47,3,5,9
528552,Basketball Net,Metal,Parks,POINT (-113.46024836036219 53.51366886082641),374,74,7,5,3
564771,Basketball Net,Metal,Parks,POINT (-113.37051856161784 53.45863836121461),230,134,7,7,4
550732,Basketball Net,Metal,School Board,POINT (-113.63530517314572 53.518046775792286),34,94,3,4,1
536614,Basketball Net,Metal,Parks,POINT (-113.50120220315699 53.519714464138104),315,9,6,5,11
412042,Funnel ball,Metal,School Board,POINT (-113.57767462511399 53.49312221528301),259,178,6,6,12
448853,Net Post,Metal,Parks,POINT (-113.50950900381008 53.528891109605595),288,3,6,5,11
476283,Home plate,Plastic,Parks,POINT (-113.39158200409415 53.613404810146996),336,184,2,3,7
760441,Mileage Marker,Metal,Citizen Services,POINT (-113.45962977782243 53.554547974962716),289,1,4,5,11
481672,Basketball Net,Metal,Parks,POINT (-113.46977393021092 53.58027074881096),35,155,4,3,10
526922,Basketball Net,Metal,Parks,POINT (-113.58751482881885 53.524467303590775),39,83,5,4,1
