ID,TYPE,MATERIAL,OWNER,POINT,Neighbourhood Boundaries : 2019,Roadway Maintenance Area Polygon,"Edmonton Public School Board (EPSB) Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","Edmonton Catholic School District Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)","City of Edmonton - Ward Boundaries (effective at 12:00 AM on Oct 16, 2017)"
31955,Basketball Net,Metal,Parks,POINT (-113.50482977466015 53.47279908983059),143,20,6,6,2
31559,Basketball Net,Metal,Parks,POINT (-113.63833822887702 53.526526335380076),65,159,3,4,1
484149,Home plate,Metal,Parks,POINT (-113.52228040856525 53.51350399740204),59,18,6,5,11
342734,Home plate,Plastic,Parks,POINT (-113.43113943158022 53.62150532794696),279,183,2,2,7
31763,Frisbee Golf,Metal,Parks,POINT (-113.39274716913333 53.55545965525678),195,176,4,3,10
363252,Basketball Net,Metal,Parks,POINT (-113.63467635635986 53.505621672622816),135,97,5,4,8
412055,Net Post,Metal,Community League,POINT (-113.57543707019146 53.49095377324711),259,178,6,6,12
31808,Basketball Net,Metal,Parks,POINT (-113.38295128452114 53.593596689784604),396,199,2,3,7
551082,Basketball Net,Metal,Parks,POINT (-113.4749710476472 53.524088065963085),269,80,4,5,11
530649,Skateboard Fixture,Metal,Parks,POINT (-113.36825767854906 53.5022939831736),295,39,7,5,3
518005,Basketball Net,Metal,School Board,POINT (-113.6225234886324 53.508472178114566),60,97,5,4,8
31787,Frisbee Golf,Metal,Parks,POINT (-113.38804455415618 53.558356839824405),195,176,4,3,10
422604,Home plate,Plastic,Parks,POINT (-113.60444861911243 53.545462748158435),30,87,3,1,1
,Tetherball Pole,Metal,Unknown,POINT (-113.44901083383455 53.510457459205256),188,73,7,5,3
518639,Home plate,Plastic,Parks,POINT (-113.42301534905171 53.554436811730035),41,31,4,5,11
337065,Home plate,Plastic,Parks,POINT (-113.46957233753835 53.62777299129205),106,163,1,2,6
815416,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.4992258803941 53.421837333342374),370,100,8,6,2
473846,Home plate,Plastic,Parks,POINT (-113.51076650273134 53.59325978921508),37,224,1,2,5
494982,Net Post,Metal,Parks,POINT (-113.38225913680652 53.5595694955292),195,176,4,3,10
758537,Mileage Marker,Other,Citizen Services,POINT (-113.53380345698127 53.537478664911),344,144,4,5,9
528904,Basketball Net,Plastic,Parks,POINT (-113.68847228626426 53.53519374572042),177,158,3,4,1
552909,Home plate,Plastic,Parks,POINT (-113.4249961748895 53.476276635924634),46,57,7,7,3
31604,Basketball Net,Unknown,School Board,POINT (-113.57745156922823 53.493253908408064),259,178,6,6,12
422334,Basketball Net,Metal,Parks,POINT (-113.51367882624047 53.41949384539832),126,100,8,6,2
434707,Home plate,Plastic,Parks,POINT (-113.4484191470516 53.480440893944014),58,240,7,7,3
354294,Basketball Net,Metal,Parks,POINT (-113.54844986770438 53.575215020228065),48,107,3,1,5
551157,Basketball Net,Unknown,School Board,POINT (-113.50897010221253 53.55625871573101),179,220,3,5,9
439329,Home plate,Plastic,Parks,POINT (-113.41034870316787 53.447681326979584),250,7,9,7,4
525203,Funnel ball,Plastic,School Board,POINT (-113.47831304117909 53.50367298198926),272,67,7,5,3
420515,Home plate,Plastic,Parks,POINT (-113.57900614169257 53.46112696115294),284,69,8,6,12
31575,Basketball Net,Metal,Parks,POINT (-113.60506203487986 53.50618075244542),221,179,5,4,8
31847,Basketball Net,Metal,Parks,POINT (-113.52309027844373 53.48057960200656),110,13,6,6,2
529683,Home plate,Plastic,Parks,POINT (-113.5921614537135 53.51475742880001),241,116,5,4,8
470631,Net Post,Metal,Community League,POINT (-113.52548203186818 53.457948491697714),140,171,6,6,2
31814,Funnel ball,Plastic,Parks,POINT (-113.37289752025289 53.61054288290398),321,210,2,3,7
750697,Home plate,Plastic,Parks,POINT (-113.60784107285048 53.51404755714491),9,98,5,4,8
31939,Basketball Net,Metal,Parks,POINT (-113.52498002393446 53.62395403738535),190,122,1,1,6
363402,Basketball Net,Metal,Parks,POINT (-113.4274102119274 53.596727294554675),215,169,2,3,7
31892,Funnel ball,Plastic,School Board,POINT (-113.56082489085297 53.56705654872907),19,209,3,1,5
532433,Home plate,Plastic,Parks,POINT (-113.42974292506653 53.530634871179394),23,123,7,5,11
760443,Other,Metal,Citizen Services,POINT (-113.46523520945873 53.54955242106542),289,1,4,5,11
470632,Net Post,Metal,Community League,POINT (-113.52553906305161 53.45802188232849),140,171,6,6,2
345482,Home plate,Plastic,Parks,POINT (-113.51327280430947 53.56119006897485),3,220,3,1,5
573430,Basketball Net,Metal,Parks,POINT (-113.7055508140365 53.53262159928565),340,143,3,4,1
339149,Home plate,Plastic,Parks,POINT (-113.59439089476851 53.53278803964549),31,186,5,1,1
31794,Tetherball Pole,Metal,School Board,POINT (-113.43415523503369 53.60153487206236),24,181,2,3,7
31774,Basketball Net,Metal,Parks,POINT (-113.40212666325648 53.56957281360235),252,175,4,3,10
429497,Basketball Net,Metal,Parks,POINT (-113.44155134442704 53.448768414385185),117,34,9,7,3
476260,Funnel ball,Plastic,Parks,POINT (-113.38797354287392 53.61102728495521),336,184,2,3,7
516662,Funnel ball,Metal,School Board,POINT (-113.46824307620301 53.52226984021816),269,80,4,5,11
31921,Funnel ball,Plastic,Parks,POINT (-113.53138129247812 53.595813681449414),253,49,1,1,5
498172,Net Post,Metal,Community League,POINT (-113.51049590819628 53.49441041066551),50,19,6,5,2
509457,Basketball Net,Unknown,School Board,POINT (-113.53163347673396 53.509806655378426),283,17,6,5,11
414422,Other,Plastic,Parks,POINT (-113.48072331057513 53.460277995329825),115,237,9,7,3
528557,Basketball Net,Metal,School Board,POINT (-113.45629672365868 53.51405539063939),374,74,7,5,3
337064,Home plate,Plastic,Parks,POINT (-113.46831631455458 53.62832802668622),106,163,1,2,6
448852,Net Post,Metal,Parks,POINT (-113.50931767596721 53.528893062689065),288,3,6,5,11
597488,Basketball Net,Plastic,Parks,POINT (-113.56356161348847 53.4787447486507),194,160,6,6,12
536613,Basketball Net,Metal,Parks,POINT (-113.50149012399015 53.51971155022327),315,9,6,5,11
740972,Home plate,Plastic,Parks,POINT (-113.56404933171999 53.564829789567746),19,209,3,1,5
524757,Skateboard Fixture,Metal,Parks,POINT (-113.41348717790056 53.54905855399692),239,30,4,5,11
484434,Basketball Net,Metal,School Board,POINT (-113.41181148567364 53.58699977124233),233,29,2,3,7
529681,Home plate,Plastic,Parks,POINT (-113.58729365364172 53.51606792571952),241,116,5,4,8
31931,Basketball Net,Metal,Parks,POINT (-113.52566952056988 53.615966092635496),190,122,1,1,6
32011,Basketball Net,Metal,Parks,POINT (-113.51403258274763 53.59251981835281),37,224,1,2,5
412054,Net Post,Metal,Community League,POINT (-113.57536969471833 53.49095353391183),259,178,6,6,12
525993,Basketball Net,Metal,Parks,POINT (-113.45085878573869 53.53075754899517),152,91,7,5,11
481786,Skateboard Fixture,Metal,Parks,POINT (-113.50928351704371 53.4868054707165),26,19,6,5,2
31925,Funnel ball,Metal,Parks,POINT (-113.52391921975455 53.60509884296201),249,225,1,1,5
31622,Chin-up Bar,Metal,School Board,POINT (-113.45292655946866 53.522110810827876),22,80,7,5,11
593941,Basketball Net,Metal,Parks,POINT (-113.57387353089743 53.44661035281655),372,88,8,6,12
31954,Basketball Net,Metal,Parks,POINT (-113.5048703199529 53.47268214899443),143,20,6,6,2
434533,Home plate,Plastic,Parks,POINT (-113.4271659268709 53.44979574128581),245,14,9,7,3
,Home plate,Unknown,Parks,POINT (-113.45440647278772 53.47573235831981),225,240,7,7,3
353865,Home plate,Plastic,Parks,POINT (-113.51808983576309 53.48201130315094),110,13,6,6,2
414437,Other,Metal,Parks,POINT (-113.4841383763109 53.46237528247362),115,237,9,7,3
465178,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.5800004703112 53.547575450874334),84,188,3,1,1
815408,Outdoor Exercise Equipment,Metal,School Board,POINT (-113.42999516915731 53.519295218603645),266,75,7,5,11
522804,Skateboard Fixture,Metal,Parks,POINT (-113.5060528603193 53.47291512187231),143,20,6,6,2
495007,Frisbee Golf,Metal,Parks,POINT (-113.38793875109235 53.558259730927176),195,176,4,3,10
528556,Basketball Net,Metal,School Board,POINT (-113.45629252370861 53.5141890438484),374,74,7,5,3
364662,Home plate,Plastic,Parks,POINT (-113.60464472139029 53.530684849094136),92,93,5,4,1
533845,Net Post,Metal,Citizen Services,POINT (-113.49818466507233 53.51142011771235),13,10,6,5,11
364296,Basketball Net,Metal,Parks,POINT (-113.48807082527145 53.634433849704095),299,190,1,2,6
518014,Pitching Board,Plastic,Parks,POINT (-113.62432729388358 53.508190691012736),60,97,5,4,8
31915,Tetherball Pole,Metal,Parks,POINT (-113.53206672444527 53.56110183007091),104,47,3,1,5
759250,Mileage Marker,Plastic,Citizen Services,POINT (-113.38434319623491 53.56758896952909),195,176,4,3,10
484426,Funnel ball,Plastic,School Board,POINT (-113.40852555757695 53.58532572688052),233,29,2,3,7
534263,Net Post,Metal,Community League,POINT (-113.48149189292744 53.5134933751522),156,66,7,5,3
518045,Pitching Board,Wood,Parks,POINT (-113.62553725110003 53.50769316959583),60,97,5,4,8
524547,Basketball Net,Metal,School Board,POINT (-113.6087801929058 53.53249758890661),31,93,5,1,1
530661,Other,Metal,Parks,POINT (-113.36732347193886 53.50272402332196),295,39,7,5,3
,Other,Wood,Unknown,POINT (-113.5581823833517 53.412917981382094),210,82,8,6,12
,Frisbee Golf,Metal,Unknown,POINT (-113.40113064053348 53.427842696486024),213,6,9,7,4
31696,Basketball Net,Metal,Community League,POINT (-113.45668547106034 53.587741392331566),242,156,2,3,10
364665,Home plate,Plastic,Parks,POINT (-113.60694810165072 53.52611901721897),92,93,5,4,1
581766,Chess Table,Metal,Parks,POINT (-113.47597321774812 53.55196449537453),154,153,4,5,9
476858,Home plate,Plastic,Parks,POINT (-113.38758927154734 53.6052298575203),144,184,2,3,7
476266,Pitching Board,Plastic,Parks,POINT (-113.39083483587486 53.6128802061763),336,184,2,3,7
530532,Pitching Board,Plastic,Parks,POINT (-113.34778094564217 53.50260174979051),294,39,7,5,3
494994,Home plate,Plastic,Parks,POINT (-113.38410023349961 53.558562468268114),195,176,4,3,10
759243,Mileage Marker,Plastic,Citizen Services,POINT (-113.38406516631746 53.56965606884699),195,176,4,3,10
462615,Net Post,Metal,Parks,POINT (-113.55896573859391 53.56125812638446),19,209,3,1,5
535063,Home plate,Plastic,Parks,POINT (-113.45866722398213 53.44696166767855),118,34,9,7,3
437493,Basketball Net,Plastic,Parks,POINT (-113.44379123199697 53.45586156007014),55,238,9,7,3
476176,Home plate,Plastic,Parks,POINT (-113.37488351245561 53.610482671642195),321,210,2,3,7
481787,Basketball Net,Metal,Parks,POINT (-113.50140873989454 53.486825701424074),26,19,6,5,2
438540,Home plate,Plastic,Parks,POINT (-113.60784040773142 53.49884905787088),64,179,5,4,8
550911,Basketball Net,Unknown,School Board,POINT (-113.50082324008453 53.48402044024368),26,19,6,5,2
440778,Home plate,Plastic,Parks,POINT (-113.4507863555374 53.44317694315547),73,34,9,7,3
469447,Basketball Net,Metal,Parks,POINT (-113.5271522751607 53.61246436762527),170,225,1,1,5
,Basketball Net,Metal,Unknown,POINT (-113.68370090253133 53.502791911335486),393,142,5,4,8
31766,Frisbee Golf,Metal,Parks,POINT (-113.39172052326069 53.55470607669867),195,176,4,3,10
745939,Net Post,Metal,Community League,POINT (-113.5886092727486 53.508669289055064),68,16,5,4,8
518034,Home plate,Plastic,Parks,POINT (-113.62363469628822 53.50635651196322),60,97,5,4,8
31627,Tetherball Pole,Metal,School Board,POINT (-113.44083774723069 53.44842995252189),117,34,9,7,3
481516,Net Post,Metal,Community League,POINT (-113.52505967590336 53.49364151822428),51,197,6,5,2
31649,Basketball Net,Metal,Parks,POINT (-113.42602560839052 53.468342222313126),21,57,7,7,3
523571,Basketball Net,Metal,School Board,POINT (-113.42920580241928 53.54796837090006),67,103,4,5,11
537601,Home plate,Plastic,Parks,POINT (-113.46329853101817 53.42000401328997),356,45,9,7,4
354542,Basketball Net,Metal,School Board,POINT (-113.49670217745935 53.566457353435716),4,151,3,1,5
507801,Tetherball Pole,Metal,School Board,POINT (-113.53422181503348 53.47775708922235),110,13,6,6,2
31765,Frisbee Golf,Metal,Parks,POINT (-113.39220837799884 53.55407455649335),195,176,4,3,10
,Chess Table,Other,Unknown,POINT (-113.45186159752562 53.543331579082775),293,1,4,5,11
466178,Basketball Net,Metal,Community League,POINT (-113.50231572056323 53.50127698433166),16,10,6,5,2
535311,Skateboard Fixture,Metal,Parks,POINT (-113.3842025550572 53.45806889278742),230,134,7,7,4
437484,Other,Metal,Parks,POINT (-113.44195762087647 53.45459349388775),55,238,9,7,3
551283,Basketball Net,Unknown,School Board,POINT (-113.41290893201317 53.44887185435564),250,7,9,7,4
31573,Basketball Net,Metal,Parks,POINT (-113.60529301158502 53.506128461764426),221,179,5,4,8
31784,Frisbee Golf,Metal,Parks,POINT (-113.3883704741749 53.55616289680679),195,176,4,3,10
344937,Basketball Net,Metal,Parks,POINT (-113.51736006972399 53.50291370319826),17,18,6,5,2
,Home plate,Plastic,Unknown,POINT (-113.4597351461083 53.51497029030183),374,74,7,5,3
439328,Skateboard Fixture,Metal,Parks,POINT (-113.41207075882377 53.44744605168646),250,7,9,7,4
430622,Basketball Net,Metal,School Board,POINT (-113.58260920370216 53.547784966076904),84,188,3,1,1
342094,Home plate,Plastic,Parks,POINT (-113.50105715344901 53.588373069918624),36,223,1,2,5
581765,Basketball Net,Metal,Parks,POINT (-113.47634204275303 53.551642924505416),154,153,4,5,9
518635,Basketball Net,Metal,School Board,POINT (-113.4229240276658 53.5550742361203),41,31,4,5,11
473495,Home plate,Plastic,Parks,POINT (-113.52064166540868 53.61921748553031),190,122,1,1,6
537049,Basketball Net,Metal,Parks,POINT (-113.4620594160168 53.530509127909),342,126,4,5,11
31767,Net Post,Metal,Parks,POINT (-113.39277035698143 53.56174940396428),232,176,4,3,10
31838,Tetherball Pole,Metal,School Board,POINT (-113.54606688421654 53.499205498264345),277,185,6,5,2
354543,Basketball Net,Metal,School Board,POINT (-113.49653960605123 53.56645520282993),4,151,3,1,5
498022,Home plate,Plastic,Parks,POINT (-113.5300191325597 53.48437835528608),148,197,6,5,2
414413,Home plate,Plastic,Parks,POINT (-113.47932465017523 53.46018754866925),115,237,9,7,3
430261,Home plate,Plastic,Parks,POINT (-113.62514260497439 53.499101054896364),25,25,5,4,8
528202,Home plate,Plastic,Parks,POINT (-113.44623597788369 53.60593660664753),167,166,2,3,6
481520,Home plate,Plastic,Parks,POINT (-113.52123550933226 53.489514177731564),51,197,6,5,2
338593,Home plate,Plastic,Parks,POINT (-113.67004001497774 53.505267958408055),292,142,5,4,8
532426,Net Post,Metal,Parks,POINT (-113.4365433644154 53.53099164527117),23,123,7,5,11
524044,Net Post,Metal,Parks,POINT (-113.47347086013453 53.594599488514056),12,157,1,2,10
31580,Tetherball Pole,Metal,School Board,POINT (-113.60310449262336 53.51161460005461),208,16,5,4,8
538113,Basketball Net,Metal,School Board,POINT (-113.43502518651277 53.53941039506083),184,125,4,5,11
481671,Home plate,Plastic,Parks,POINT (-113.4639409327408 53.574180682418714),35,154,4,3,10
550864,Basketball Net,Unknown,Parks,POINT (-113.45322619191764 53.49944398907863),94,241,7,5,3
527704,Home plate,Plastic,Parks,POINT (-113.43392945093544 53.523312713422754),266,75,7,5,11
480879,Funnel ball,Plastic,School Board,POINT (-113.560816844207 53.54839829499216),139,196,3,5,9
32026,Funnel ball,Plastic,School Board,POINT (-113.50308388759392 53.59677387976075),37,224,1,2,5
345026,Basketball Net,Metal,Community League,POINT (-113.67463312817377 53.51809497452456),341,158,3,4,1
31564,Basketball Net,Metal,School Board,POINT (-113.62412305739434 53.4937869251549),137,43,5,4,8
550982,Basketball Net,Unknown,Parks,POINT (-113.5445804509635 53.48745357584779),263,185,6,5,2
452246,Net Post,Metal,School Board,POINT (-113.55082801820404 53.59701074269254),86,50,1,1,5
336638,Basketball Net,Metal,School Board,POINT (-113.44882295904318 53.59176359038256),242,156,2,3,10
528905,Basketball Net,Plastic,Parks,POINT (-113.68834680216177 53.5351934187639),177,158,3,4,1
527970,Home plate,Plastic,Parks,POINT (-113.45834180734529 53.60577382907681),15,165,2,3,10
465878,Basketball Net,Metal,Parks,POINT (-113.514676716972 53.55594799902399),179,220,3,5,9
31851,Basketball Net,Metal,Parks,POINT (-113.52325485266316 53.48078536531847),110,13,6,6,2
31547,Basketball Net,Plastic,Parks,POINT (-113.64604039466867 53.48019795094907),397,44,5,4,8
478306,Net Post,Metal,Parks,POINT (-113.45852801937347 53.54434112777344),289,1,4,5,11
335562,Home plate,Plastic,Parks,POINT (-113.54004281978074 53.47445938687075),255,170,6,6,2
465483,Net Post,Metal,Parks,POINT (-113.51182748090834 53.59037014807301),36,223,1,2,5
363250,Basketball Net,Metal,Parks,POINT (-113.63452730893607 53.50577568583779),135,97,5,4,8
528392,Net Post,Metal,Parks,POINT (-113.48749850024078 53.58958455233789),38,152,1,2,10
340975,Basketball Net,Metal,Community League,POINT (-113.50392032366496 53.44874476701033),163,109,8,6,2
507796,Basketball Net,Plastic,School Board,POINT (-113.53430632636723 53.47768814925134),110,13,6,6,2
498023,Home plate,Plastic,Parks,POINT (-113.52915846986714 53.48419628489931),148,197,6,5,2
434351,Basketball Net,Metal,Parks,POINT (-113.56754226207346 53.55230355896643),7,195,3,1,9
341194,Home plate,Plastic,Parks,POINT (-113.46073957937072 53.61346293497692),167,166,2,3,6
31988,Chess Table,Wood,Parks,POINT (-113.49301552914164 53.52239178227295),315,12,6,5,11
362660,Home plate,Plastic,Parks,POINT (-113.43159893009197 53.60129974335981),24,181,2,3,7
31710,Funnel ball,Metal,School Board,POINT (-113.4751848057697 53.60709886193492),1,162,1,2,6
485151,Net Post,Metal,Parks,POINT (-113.5143830412084 53.51976657022743),286,9,6,5,11
342864,Basketball Net,Metal,Parks,POINT (-113.45871221115027 53.621913086335496),169,167,2,2,6
533857,Net Post,Metal,Parks,POINT (-113.49873025046642 53.507099976260044),13,10,6,5,11
429501,Tetherball Pole,Metal,Community League,POINT (-113.44176095092038 53.449080385733524),117,34,9,7,3
551001,Basketball Net,Unknown,School Board,POINT (-113.52361341881249 53.49179064024527),51,197,6,5,2
540497,Home plate,Plastic,Parks,POINT (-113.69187743351118 53.55407475154048),93,147,3,1,1
501017,Home plate,Plastic,Parks,POINT (-113.45067854760309 53.56382967348045),130,153,4,3,10
531146,Home plate,Plastic,Parks,POINT (-113.46430672182596 53.504561373003455),157,67,7,5,3
509257,Basketball Net,Metal,Parks,POINT (-113.55986164496174 53.62021792445275),388,121,1,1,5
538919,Basketball Net,Metal,School Board,POINT (-113.6216675294622 53.516110979680526),10,96,3,4,8
437488,Net Post,Plastic,Parks,POINT (-113.44385576690766 53.456062826153435),55,238,9,7,3
31913,Tetherball Pole,Metal,School Board,POINT (-113.54006171490279 53.56599260739833),104,48,3,1,5
760429,Mileage Marker,Metal,Citizen Services,POINT (-113.45120147793968 53.552826512968714),289,1,4,5,11
422337,Home plate,Plastic,Parks,POINT (-113.51483274080519 53.41929047748833),126,100,8,6,2
339146,Home plate,Plastic,Parks,POINT (-113.59232935953902 53.53733307505558),31,186,5,1,1
518021,Home plate,Plastic,Parks,POINT (-113.62579202894484 53.50855132337895),60,97,5,4,8
31757,Frisbee Golf,Metal,Parks,POINT (-113.39426603808015 53.5547613507247),195,176,4,3,10
414410,Home plate,Plastic,Parks,POINT (-113.47815129569753 53.46066410248587),115,237,9,7,3
364294,Basketball Net,Metal,Parks,POINT (-113.48791332227202 53.63455619723628),299,190,1,2,6
359652,Home plate,Plastic,Parks,POINT (-113.68573802153003 53.49338832998271),361,5,5,4,8
476277,Home plate,Wood,Parks,POINT (-113.39146365788899 53.61310703760832),336,184,2,3,7
31591,Basketball Net,Metal,Parks,POINT (-113.52522685473343 53.45893866943316),140,171,6,6,2
31598,Basketball Net,Wood,Parks,POINT (-113.52569131397459 53.472729549934094),47,172,6,6,2
485145,Net Post,Metal,Parks,POINT (-113.5133724091991 53.519381270732715),286,9,6,5,11
,Chess Table,Metal,Unknown,POINT (-113.54476913882701 53.61112981250866),189,216,1,1,5
528752,Home plate,Plastic,Parks,POINT (-113.64634453914249 53.53158086058923),132,159,3,4,1
342866,Skateboard Fixture,Metal,Parks,POINT (-113.45932993870761 53.62188658952009),169,167,2,2,6
469837,Home plate,Plastic,Parks,POINT (-113.50377745009963 53.630787460282946),248,140,1,2,6
414436,Other,Metal,Parks,POINT (-113.48158142134379 53.46176146474594),115,237,9,7,3
739037,Pitching Board,Plastic,Parks,POINT (-113.40335730409328 53.54526886198767),394,30,4,5,11
338240,Home plate,Plastic,Parks,POINT (-113.47560089580585 53.61036400595677),1,162,1,2,6
557144,Home plate,Plastic,Parks,POINT (-113.39944891037773 53.47479219581649),125,58,7,7,3
516409,Home plate,Plastic,Parks,POINT (-113.40444531048247 53.568917911772864),252,175,4,3,10
31571,Basketball Net,Metal,Community League,POINT (-113.62118342141409 53.516595874682665),10,96,3,4,8
526921,Funnel ball,Plastic,Parks,POINT (-113.58812223394379 53.52399194933229),39,83,5,4,1
31791,Basketball Net,Metal,Parks,POINT (-113.38956005444513 53.57290050156072),243,177,4,3,10
572762,Outdoor Exercise Equipment,Metal,Parks,POINT (-113.45756501631546 53.60295005771347),15,165,2,3,10
478302,Net Post,Metal,Parks,POINT (-113.45850446581002 53.544662285909816),289,1,4,5,11
31680,Basketball Net,Metal,Community League,POINT (-113.47309896027885 53.54186363699044),352,153,4,5,9
744434,Basketball Net,Metal,Parks,POINT (-113.46476924966386 53.53241577368817),342,126,4,5,11
522984,Basketball Net,Metal,Parks,POINT (-113.60802816949324 53.51536769136385),9,98,5,4,8
532072,Net Post,Metal,Parks,POINT (-113.52313597140792 53.48097296999617),110,13,6,6,2
431860,Home plate,Plastic,Parks,POINT (-113.50642070661709 53.64219792571969),198,140,1,2,6
340971,Home plate,Plastic,Parks,POINT (-113.50929261696528 53.44908514362571),163,109,8,6,2
550907,Basketball Net,Unknown,School Board,POINT (-113.50103553199621 53.48426036859326),26,19,6,5,2
551590,Basketball Net,Metal,Parks,POINT (-113.63829117412187 53.498022047248455),69,25,5,4,8
760425,Mileage Marker,Metal,Citizen Services,POINT (-113.45838854301945 53.551079399575556),289,1,4,5,11
760442,Mileage Marker,Metal,Citizen Services,POINT (-113.45647619983872 53.55421579884635),289,1,4,5,11
527121,Home plate,Plastic,Parks,POINT (-113.50250038089574 53.45064054121033),163,109,8,6,2
523321,Home plate,Plastic,Parks,POINT (-113.45290496905989 53.54332152876636),293,1,4,5,11
431623,Home plate,Plastic,Parks,POINT (-113.50618613887954 53.554783635666816),181,220,3,5,9
494997,Home plate,Plastic,Parks,POINT (-113.38567840049103 53.55800493980803),195,176,4,3,10
31635,Basketball Net,Metal,Parks,POINT (-113.44275986768398 53.46101069253834),53,56,9,7,3
363794,Basketball Net,Metal,Parks,POINT (-113.49165423649717 53.53048841757336),366,24,4,5,9
,Home plate,Wood,Unknown,POINT (-113.52395495367334 53.61820658733553),190,122,1,1,6
708569,Home plate,Plastic,Parks,POINT (-113.3905972483358 53.573978754514975),243,177,4,3,10
31879,Basketball Net,Plastic,Parks,POINT (-113.57149343743112 53.55466140903386),7,195,3,1,9
,Basketball Net,Metal,Unknown,POINT (-113.57091079909316 53.5343872563322),75,85,5,5,1
429860,Home plate,Plastic,Parks,POINT (-113.49825318160245 53.606183303925825),151,226,1,2,5
433038,Home plate,Plastic,Parks,POINT (-113.56967185877724 53.51732162995608),172,23,5,5,8
712677,Home plate,Plastic,Parks,POINT (-113.58359383301574 53.53214386847725),91,187,5,1,1
494975,Net Post,Metal,Parks,POINT (-113.38244049128232 53.55989890221477),195,176,4,3,10
,Basketball Net,Metal,Unknown,POINT (-113.57106269061002 53.53438751010124),75,85,5,5,1
,Basketball Net,Metal,Parks,POINT (-113.5239877973065 53.544114919600034),182,144,4,5,9
525997,Chin-up Bar,Metal,Parks,POINT (-113.44941134686101 53.531007725227546),152,91,7,5,11
414419,Home plate,Plastic,Parks,POINT (-113.48043626997143 53.460280225187674),115,237,9,7,3
597347,Chess Table,Metal,Parks,POINT (-113.57579609057422 53.49356990464358),259,178,6,6,12
31957,Funnel ball,Plastic,Parks,POINT (-113.45911224850602 53.44574518622274),118,34,9,7,3
31752,Frisbee Golf,Metal,Parks,POINT (-113.3938601575387 53.55397428934391),195,176,4,3,10
354539,Home plate,Plastic,Parks,POINT (-113.49641720853813 53.56671859228048),4,151,3,1,5
450715,Home plate,Plastic,Parks,POINT (-113.57460952187255 53.45014581308617),372,88,8,6,12
363514,Basketball Net,Metal,Parks,POINT (-113.44890960755677 53.62098001767733),278,167,2,2,6
433719,Basketball Net,Metal,Parks,POINT (-113.48660056117146 53.55442782385724),367,130,4,5,9
550875,Basketball Net,Metal,School Board,POINT (-113.53949843588168 53.47542501130118),255,170,6,6,2
476855,Home plate,Plastic,Parks,POINT (-113.39364996661239 53.60437793817509),144,184,2,3,7
750584,Net Post,Metal,Community League,POINT (-113.60416275892122 53.505882638422975),221,179,5,4,8
532082,Net Post,Metal,Parks,POINT (-113.52290037030765 53.481304423539264),110,13,6,6,2
476744,Basketball Net,Metal,Parks,POINT (-113.34309031501189 53.65695715881309),369,234,2,3,7
31616,Other,Metal,Parks,POINT (-113.58936445267895 53.5088554743968),68,16,5,4,8
31948,Basketball Net,Metal,Parks,POINT (-113.50486589739022 53.46474630327327),274,173,6,6,2
613513,Funnel ball,Plastic,Parks,POINT (-113.40035121805163 53.46288846942262),108,65,9,7,4
452172,Net Post,Metal,Community League,POINT (-113.64653269555268 53.48000548259436),397,44,5,4,8
484424,Tetherball Pole,Metal,School Board,POINT (-113.4086120910332 53.58546529992869),233,29,2,3,7
31656,Basketball Net,Metal,Parks,POINT (-113.44643531178093 53.47989402326533),58,240,7,7,3
494977,Net Post,Metal,Parks,POINT (-113.38266393600995 53.559898963821105),195,176,4,3,10
495013,Frisbee Golf,Metal,Parks,POINT (-113.39179873227363 53.554595069970944),195,176,4,3,10
530652,Skateboard Fixture,Metal,Parks,POINT (-113.368065794991 53.502358668361),295,39,7,5,3
495005,Frisbee Golf,Metal,Parks,POINT (-113.39097493143224 53.55579498959776),195,176,4,3,10
361081,Basketball Net,Metal,Parks,POINT (-113.69247847996972 53.5534454742708),93,147,3,1,1
522988,Basketball Net,Metal,Parks,POINT (-113.60830185422088 53.51536351930048),9,98,5,4,8
363797,Home plate,Plastic,Parks,POINT (-113.49536571607833 53.53325964976323),366,24,4,5,9
31586,Basketball Net,Metal,Parks,POINT (-113.57727227131623 53.459498574424586),284,69,8,6,12
,Frisbee Golf,Metal,Unknown,POINT (-113.39861170556614 53.427231473387494),213,6,9,7,4
351698,Skateboard Fixture,Metal,Parks,POINT (-113.47268882435502 53.54124860150787),352,153,4,5,9
31674,Funnel ball,Plastic,Parks,POINT (-113.48932327365046 53.574165563972166),42,155,4,3,10
354544,Home plate,Plastic,Parks,POINT (-113.49812107024167 53.565354919666504),4,151,3,1,5
31991,Other,Wood,School Board,POINT (-113.4896188113287 53.52110823219819),315,12,6,5,11
31618,Basketball Net,Metal,Community League,POINT (-113.58804392051337 53.50849976899677),68,16,5,4,8
462608,Net Post,Metal,Parks,POINT (-113.55962654638951 53.5609201215448),19,209,3,1,5
32027,Basketball Net,Metal,School Board,POINT (-113.48326432141232 53.587574474210385),38,152,1,2,10
471040,Home plate,Plastic,Parks,POINT (-113.53239713701447 53.51007943819265),283,17,6,5,11
465874,Net Post,Metal,Parks,POINT (-113.52526743981103 53.55426728069895),179,47,3,5,9
